Product_ID,Product_Name,Product_Category,Product_Sub_Category,Room_Department,Brand_Name,Product_Type,Color,Material,Style,Pattern,Occasion_Tag,Product_Price,Cost
P5013,Modern Rust Dinner Plate Set,Dinnerware,Plates & Bowls,Kitchen,Barrel & Co,Dinner Plate Set,Rust,Ceramic,Modern,Solid,Baby Shower,1970.18,809.53
P5109,Modern Sage Green Pendant Light,Lighting,Table Lamps,Decor,Heritage House,Pendant Light,Sage Green,Rattan,Modern,Solid,Everyday,438.72,222.54
P5073,Coastal Natural Runner Rug,Rugs,Area Rugs,Living Room,Nordic Studio,Runner Rug,Natural,Jute,Coastal,Solid,Baby Shower,1734.79,766.49
P5019,Scandinavian Natural Kettle,Small Appliances,Countertop,Kitchen,Heritage House,Kettle,Natural,Stainless Steel,Scandinavian,Solid,Housewarming,197.62,73.16
P5051,Bohemian Grey Quilt,Bedding,Comforters,Bedding,Aspen Living,Quilt,Grey,Linen,Bohemian,Solid,Baby Shower,1493.68,873.06
P5041,Farmhouse Blue Fitted Sheet Set,Bedding,Sheets,Bedding,Modern Nest,Fitted Sheet Set,Blue,Percale,Farmhouse,Solid,Baby Shower,2378.96,1206.1
P5121,Modern Sage Green Desk,Storage,Shelving,Office,Crate Home,Desk,Sage Green,Engineered Wood,Modern,Solid,Everyday,1053.44,589.3
P5003,Industrial Ivory Frying Pan,Cookware,Pots & Pans,Kitchen,Nordic Studio,Frying Pan,Ivory,Non-Stick,Industrial,Solid,Everyday,2078.72,861.09
P5137,Farmhouse White Throw Pillow,Textiles,Throw Pillows,Living Room,Nordic Studio,Throw Pillow,White,Cotton,Farmhouse,Geometric,Housewarming,93.86,42.45
P5112,Bohemian Black Umbrella,Outdoor Furniture,Patio Sets,Outdoor,Heritage House,Umbrella,Black,Wicker,Bohemian,Solid,Holiday,2392.36,1112.25
P5011,Industrial Navy Bowl Set,Dinnerware,Plates & Bowls,Kitchen,Nordic Studio,Bowl Set,Navy,Stoneware,Industrial,Solid,Holiday,1116.81,656.28
P5125,Coastal Rust Toy Storage Bin,Kids,Kids Bedding,Kids,Nordic Studio,Toy Storage Bin,Rust,Cotton,Coastal,Solid,Everyday,2142.52,1230.37
P5049,Industrial Mustard Quilt,Bedding,Comforters,Bedding,Modern Nest,Quilt,Mustard,Cotton,Industrial,Solid,Holiday,834.28,408.37
P5060,Farmhouse Beige Loveseat,Furniture,Sofas,Living Room,Modern Nest,Loveseat,Beige,Leather,Farmhouse,Textured,Baby Shower,223.43,87.16
P5061,Scandinavian Charcoal Sectional,Furniture,Sofas,Living Room,Modern Nest,Sectional,Charcoal,Performance Velvet,Scandinavian,Textured,Baby Shower,2327.22,1055.92
P5132,Farmhouse Rust Throw Pillow,Textiles,Throw Pillows,Living Room,Heritage House,Throw Pillow,Rust,Linen,Farmhouse,Geometric,Wedding,1327.51,584.7
P5107,Farmhouse Blush Floor Lamp,Lighting,Table Lamps,Decor,Casa Bella,Floor Lamp,Blush,Rattan,Farmhouse,Solid,,1465.5,804.84
P5038,Farmhouse Natural Soap Dispenser,Bath Accessories,Bath Mats,Bath,Barrel & Co,Soap Dispenser,Natural,Ceramic,Farmhouse,Geometric,Holiday,2178.25,1168.52
P5072,Modern Terracotta Area Rug,Rugs,Area Rugs,Living Room,Modern Nest,Area Rug,Terracotta,Jute,Modern,Striped,Everyday,693.94,381.55
P5055,Modern Blue Quilt,Bedding,Comforters,Bedding,Barrel & Co,Quilt,Blue,Linen,Modern,Floral,Baby Shower,851.86,461.35
P5039,Farmhouse White Fitted Sheet Set,Bedding,Sheets,Bedding,Aspen Living,Fitted Sheet Set,White,Percale,Farmhouse,Floral,Holiday,1282.23,739.18
P5036,Bohemian Charcoal Shower Curtain,Bath Accessories,Bath Mats,Bath,Crate Home,Shower Curtain,Charcoal,Memory Foam,Bohemian,Geometric,Everyday,1778.1,808.01
P5136,Modern Natural Throw Pillow,Textiles,Throw Pillows,Living Room,Aspen Living,Throw Pillow,Natural,Velvet,Modern,Striped,,1452.1,524.68
P5071,Traditional Navy Area Rug,Rugs,Area Rugs,Living Room,Aspen Living,Area Rug,Navy,Jute,Traditional,Solid,Wedding,2472.97,1201.26
P5016,Minimalist Navy Toaster,Small Appliances,Countertop,Kitchen,Barrel & Co,Toaster,Navy,Plastic,Minimalist,Solid,,54.22,22.57
P5058,Scandinavian Blush Sofa,Furniture,Sofas,Living Room,Heritage House,Sofa,Blush,Leather,Scandinavian,Textured,Baby Shower,1927.05,1049.34
P5004,Farmhouse Grey Stock Pot,Cookware,Pots & Pans,Kitchen,Barrel & Co,Stock Pot,Grey,Cast Iron,Farmhouse,Solid,,2407.79,927.45
P5128,Traditional Grey Toy Storage Bin,Kids,Kids Bedding,Kids,Casa Bella,Toy Storage Bin,Grey,Cotton,Traditional,Solid,Wedding,908.49,371.64
P5090,Farmhouse Mustard Bowl,Decor,Vases,Decor,Barrel & Co,Bowl,Mustard,Terracotta,Farmhouse,Solid,,1485.64,735.63
P5040,Coastal Beige Pillowcase Set,Bedding,Sheets,Bedding,Barrel & Co,Pillowcase Set,Beige,Percale,Coastal,Solid,Baby Shower,270.47,111.97
P5065,Farmhouse Sage Green Side Table,Furniture,Coffee Tables,Living Room,Heritage House,Side Table,Sage Green,Glass,Farmhouse,Solid,Everyday,607.52,309.68
P5048,Industrial Mustard Quilt,Bedding,Comforters,Bedding,Nordic Studio,Quilt,Mustard,Cotton,Industrial,Quilted,Holiday,2296.07,1026.01
P5118,Minimalist Navy Bookshelf,Storage,Shelving,Office,Casa Bella,Bookshelf,Navy,Engineered Wood,Minimalist,Solid,Everyday,145.44,65.93
P5044,Farmhouse Blush Fitted Sheet Set,Bedding,Sheets,Bedding,Heritage House,Fitted Sheet Set,Blush,Linen,Farmhouse,Floral,Baby Shower,2162.66,1219.36
P5094,Coastal Grey Vase,Decor,Vases,Decor,Aspen Living,Vase,Grey,Ceramic,Coastal,Textured,Baby Shower,1047.82,488.4
P5096,Minimalist Charcoal Wall Hanging,Decor,Wall Art,Decor,Barrel & Co,Wall Hanging,Charcoal,Metal,Minimalist,Floral,Wedding,319.47,147.72
P5099,Bohemian Navy Mirror,Decor,Wall Art,Decor,Aspen Living,Mirror,Navy,Wood,Bohemian,Floral,Wedding,2417.22,976.04
P5027,Traditional Blue Washcloth,Towels,Bath Towels,Bath,Aspen Living,Washcloth,Blue,Cotton,Traditional,Solid,Holiday,463.33,243.56
P5018,Modern White Kettle,Small Appliances,Countertop,Kitchen,Crate Home,Kettle,White,Stainless Steel,Modern,Solid,Everyday,1153.24,681.57
P5045,Modern Natural Pillowcase Set,Bedding,Sheets,Bedding,Barrel & Co,Pillowcase Set,Natural,Linen,Modern,Striped,Holiday,2273.99,1120.88
P5009,Coastal Sage Green Dinner Plate Set,Dinnerware,Plates & Bowls,Kitchen,Casa Bella,Dinner Plate Set,Sage Green,Stoneware,Coastal,Floral,,1142.3,591.28
P5091,Industrial Grey Sculpture,Decor,Vases,Decor,Crate Home,Sculpture,Grey,Terracotta,Industrial,Solid,,2065.71,737.65
P5035,Industrial Sage Green Soap Dispenser,Bath Accessories,Bath Mats,Bath,Modern Nest,Soap Dispenser,Sage Green,Ceramic,Industrial,Solid,Wedding,1001.72,536.43
P5083,Farmhouse Rust Bar Stool,Furniture,Dining Tables,Dining,Casa Bella,Bar Stool,Rust,Walnut,Farmhouse,Solid,,2229.96,1255.11
P5087,Coastal White Sculpture,Decor,Vases,Decor,Heritage House,Sculpture,White,Glass,Coastal,Solid,Wedding,1922.94,735.06
P5050,Coastal Grey Duvet Cover,Bedding,Comforters,Bedding,Aspen Living,Duvet Cover,Grey,Linen,Coastal,Quilted,Holiday,217.53,112.22
P5129,Bohemian Terracotta Kids Comforter,Kids,Kids Bedding,Kids,Casa Bella,Kids Comforter,Terracotta,Cotton,Bohemian,Solid,Holiday,1263.76,725.12
P5002,Coastal Mustard Saucepan,Cookware,Pots & Pans,Kitchen,Modern Nest,Saucepan,Mustard,Cast Iron,Coastal,Solid,Housewarming,2275.43,982.26
P5074,Bohemian Blue Runner Rug,Rugs,Area Rugs,Living Room,Barrel & Co,Runner Rug,Blue,Wool,Bohemian,Geometric,Baby Shower,1085.06,649.71
P5117,Traditional Beige Bookshelf,Storage,Shelving,Office,Heritage House,Bookshelf,Beige,Engineered Wood,Traditional,Solid,Housewarming,356.12,179.46
P5076,Scandinavian Ivory Runner Rug,Rugs,Area Rugs,Living Room,Aspen Living,Runner Rug,Ivory,Synthetic,Scandinavian,Striped,Baby Shower,1126.12,598.76
P5130,Industrial Charcoal Toy Storage Bin,Kids,Kids Bedding,Kids,Modern Nest,Toy Storage Bin,Charcoal,Fabric,Industrial,Solid,Housewarming,563.81,332.28
P5101,Bohemian Grey Mirror,Decor,Wall Art,Decor,Heritage House,Mirror,Grey,Metal,Bohemian,Floral,Housewarming,127.43,46.23
P5053,Bohemian Rust Comforter,Bedding,Comforters,Bedding,Barrel & Co,Comforter,Rust,Linen,Bohemian,Floral,Housewarming,914.14,402.82
P5138,Scandinavian Blush Throw Blanket,Textiles,Throw Pillows,Living Room,Casa Bella,Throw Blanket,Blush,Velvet,Scandinavian,Geometric,Baby Shower,948.48,493.86
P5116,Farmhouse Navy Outdoor Sofa,Outdoor Furniture,Patio Sets,Outdoor,Casa Bella,Outdoor Sofa,Navy,Aluminum,Farmhouse,Solid,Everyday,2311.16,1187.92
P5124,Traditional Grey Kids Sheet Set,Kids,Kids Bedding,Kids,Nordic Studio,Kids Sheet Set,Grey,Fabric,Traditional,Solid,Holiday,477.7,255.17
P5021,Minimalist Charcoal Kettle,Small Appliances,Countertop,Kitchen,Aspen Living,Kettle,Charcoal,Stainless Steel,Minimalist,Solid,Everyday,1137.11,462.94
P5068,Modern Beige Side Table,Furniture,Coffee Tables,Living Room,Crate Home,Side Table,Beige,Marble,Modern,Solid,Holiday,2452.88,1014.05
P5043,Modern Terracotta Pillowcase Set,Bedding,Sheets,Bedding,Modern Nest,Pillowcase Set,Terracotta,Linen,Modern,Striped,Wedding,1275.73,545.5
P5037,Scandinavian Blush Bath Mat,Bath Accessories,Bath Mats,Bath,Barrel & Co,Bath Mat,Blush,Cotton,Scandinavian,Geometric,Everyday,234.0,131.3
P5015,Coastal Navy Serving Platter,Dinnerware,Plates & Bowls,Kitchen,Crate Home,Serving Platter,Navy,Porcelain,Coastal,Solid,,1357.44,746.09
P5103,Farmhouse Charcoal Pendant Light,Lighting,Table Lamps,Decor,Heritage House,Pendant Light,Charcoal,Metal,Farmhouse,Solid,Holiday,942.4,562.33
P5024,Farmhouse Navy Washcloth,Towels,Bath Towels,Bath,Nordic Studio,Washcloth,Navy,Bamboo,Farmhouse,Striped,Everyday,893.69,461.44
P5126,Bohemian Blush Toy Storage Bin,Kids,Kids Bedding,Kids,Modern Nest,Toy Storage Bin,Blush,Cotton,Bohemian,Solid,Holiday,252.03,150.06
P5031,Scandinavian Rust Shower Curtain,Bath Accessories,Bath Mats,Bath,Heritage House,Shower Curtain,Rust,Memory Foam,Scandinavian,Geometric,Wedding,1044.25,421.76
P5110,Farmhouse Sage Green Umbrella,Outdoor Furniture,Patio Sets,Outdoor,Barrel & Co,Umbrella,Sage Green,Teak,Farmhouse,Solid,Everyday,62.06,26.59
P5001,Coastal Mustard Frying Pan,Cookware,Pots & Pans,Kitchen,Aspen Living,Frying Pan,Mustard,Cast Iron,Coastal,Solid,Everyday,2259.96,1156.16
P5033,Minimalist Navy Soap Dispenser,Bath Accessories,Bath Mats,Bath,Nordic Studio,Soap Dispenser,Navy,Cotton,Minimalist,Geometric,Holiday,2364.13,1280.97
P5108,Scandinavian Navy Pendant Light,Lighting,Table Lamps,Decor,Nordic Studio,Pendant Light,Navy,Rattan,Scandinavian,Solid,Baby Shower,2418.17,1319.66
P5114,Minimalist Terracotta Patio Chair,Outdoor Furniture,Patio Sets,Outdoor,Nordic Studio,Patio Chair,Terracotta,Aluminum,Minimalist,Solid,,802.85,351.01
P5078,Scandinavian Beige Dining Table,Furniture,Dining Tables,Dining,Casa Bella,Dining Table,Beige,Metal,Scandinavian,Solid,Holiday,328.68,134.43
P5057,Scandinavian Terracotta Loveseat,Furniture,Sofas,Living Room,Nordic Studio,Loveseat,Terracotta,Leather,Scandinavian,Solid,Everyday,1342.02,573.54
P5030,Modern Blue Hand Towel,Towels,Bath Towels,Bath,Casa Bella,Hand Towel,Blue,Cotton,Modern,Solid,Wedding,406.16,204.89
P5119,Modern Rust Bookshelf,Storage,Shelving,Office,Modern Nest,Bookshelf,Rust,Oak,Modern,Solid,Everyday,1026.17,599.03
P5034,Modern Blush Shower Curtain,Bath Accessories,Bath Mats,Bath,Modern Nest,Shower Curtain,Blush,Cotton,Modern,Geometric,Baby Shower,1871.33,737.16
P5080,Industrial Blush Dining Chair,Furniture,Dining Tables,Dining,Casa Bella,Dining Chair,Blush,Walnut,Industrial,Solid,Housewarming,635.28,240.37
P5022,Industrial Grey Hand Towel,Towels,Bath Towels,Bath,Barrel & Co,Hand Towel,Grey,Cotton,Industrial,Striped,,791.62,327.51
P5095,Industrial Beige Mirror,Decor,Wall Art,Decor,Aspen Living,Mirror,Beige,Glass,Industrial,Floral,Baby Shower,2438.8,933.31
P5115,Bohemian Terracotta Outdoor Sofa,Outdoor Furniture,Patio Sets,Outdoor,Nordic Studio,Outdoor Sofa,Terracotta,Teak,Bohemian,Solid,Housewarming,2048.67,1205.95
P5054,Minimalist Blue Duvet Cover,Bedding,Comforters,Bedding,Aspen Living,Duvet Cover,Blue,Down Alternative,Minimalist,Solid,Wedding,2499.94,971.82
P5012,Industrial Rust Dinner Plate Set,Dinnerware,Plates & Bowls,Kitchen,Crate Home,Dinner Plate Set,Rust,Porcelain,Industrial,Solid,Everyday,1004.38,399.19
P5111,Scandinavian Sage Green Umbrella,Outdoor Furniture,Patio Sets,Outdoor,Heritage House,Umbrella,Sage Green,Aluminum,Scandinavian,Solid,Holiday,1768.85,848.47
P5047,Coastal White Comforter,Bedding,Comforters,Bedding,Modern Nest,Comforter,White,Linen,Coastal,Solid,Baby Shower,630.64,289.74
P5133,Minimalist Beige Throw Pillow,Textiles,Throw Pillows,Living Room,Modern Nest,Throw Pillow,Beige,Linen,Minimalist,Striped,Wedding,423.87,238.9
P5005,Industrial Beige Wok,Cookware,Pots & Pans,Kitchen,Heritage House,Wok,Beige,Non-Stick,Industrial,Solid,Wedding,1979.84,699.83
P5029,Bohemian White Washcloth,Towels,Bath Towels,Bath,Aspen Living,Washcloth,White,Cotton,Bohemian,Striped,,1142.31,444.76
P5106,Industrial Beige Pendant Light,Lighting,Table Lamps,Decor,Nordic Studio,Pendant Light,Beige,Ceramic,Industrial,Solid,Wedding,1776.22,754.8
P5079,Coastal Navy Dining Chair,Furniture,Dining Tables,Dining,Nordic Studio,Dining Chair,Navy,Metal,Coastal,Solid,Wedding,2372.83,1051.17
P5123,Scandinavian Black Storage Cabinet,Storage,Shelving,Office,Barrel & Co,Storage Cabinet,Black,Engineered Wood,Scandinavian,Solid,Wedding,2129.88,994.67
P5104,Bohemian Sage Green Table Lamp,Lighting,Table Lamps,Decor,Aspen Living,Table Lamp,Sage Green,Rattan,Bohemian,Solid,Everyday,127.58,49.02
P5134,Scandinavian Grey Throw Pillow,Textiles,Throw Pillows,Living Room,Crate Home,Throw Pillow,Grey,Linen,Scandinavian,Solid,Everyday,2248.74,1037.5
P5113,Traditional Blush Umbrella,Outdoor Furniture,Patio Sets,Outdoor,Heritage House,Umbrella,Blush,Wicker,Traditional,Solid,Holiday,492.78,202.84
P5127,Bohemian Navy Kids Sheet Set,Kids,Kids Bedding,Kids,Aspen Living,Kids Sheet Set,Navy,Fabric,Bohemian,Floral,Holiday,1125.14,468.9
P5025,Traditional Navy Washcloth,Towels,Bath Towels,Bath,Barrel & Co,Washcloth,Navy,Bamboo,Traditional,Striped,,272.45,129.92
P5122,Traditional Ivory Storage Cabinet,Storage,Shelving,Office,Crate Home,Storage Cabinet,Ivory,Engineered Wood,Traditional,Solid,Holiday,38.03,18.71
P5059,Coastal Beige Sofa,Furniture,Sofas,Living Room,Aspen Living,Sofa,Beige,Performance Velvet,Coastal,Textured,Baby Shower,144.67,68.02
P5063,Traditional Ivory Sofa,Furniture,Sofas,Living Room,Casa Bella,Sofa,Ivory,Performance Velvet,Traditional,Textured,Everyday,1744.74,671.2
P5042,Industrial Black Pillowcase Set,Bedding,Sheets,Bedding,Modern Nest,Pillowcase Set,Black,Percale,Industrial,Floral,Everyday,800.61,368.23
P5086,Farmhouse Natural Sculpture,Decor,Vases,Decor,Modern Nest,Sculpture,Natural,Glass,Farmhouse,Solid,Everyday,2431.36,1241.42
P5081,Traditional White Bar Stool,Furniture,Dining Tables,Dining,Heritage House,Bar Stool,White,Oak,Traditional,Solid,Holiday,1764.53,712.24
P5082,Coastal Sage Green Bar Stool,Furniture,Dining Tables,Dining,Modern Nest,Bar Stool,Sage Green,Oak,Coastal,Solid,Wedding,1138.33,654.16
P5028,Coastal Navy Hand Towel,Towels,Bath Towels,Bath,Crate Home,Hand Towel,Navy,Cotton,Coastal,Striped,Wedding,187.92,100.58
P5067,Industrial Rust Coffee Table,Furniture,Coffee Tables,Living Room,Nordic Studio,Coffee Table,Rust,Oak,Industrial,Solid,Baby Shower,2384.21,1158.77
P5105,Coastal Black Pendant Light,Lighting,Table Lamps,Decor,Modern Nest,Pendant Light,Black,Metal,Coastal,Solid,Baby Shower,2329.45,1000.81
P5084,Minimalist Ivory Dining Chair,Furniture,Dining Tables,Dining,Barrel & Co,Dining Chair,Ivory,Walnut,Minimalist,Solid,Everyday,2463.05,1349.79
P5085,Scandinavian Mustard Dining Chair,Furniture,Dining Tables,Dining,Aspen Living,Dining Chair,Mustard,Walnut,Scandinavian,Solid,Everyday,1535.69,570.59
